account_no,account_name,vat,type,sheet
6860,Renteudgift kreditorer,,1,Sheet1
6864,Andre renteudgifter,,1,Sheet1
6870,Afskrivning inventar,,1,Sheet1
6872,Afskrivninger EDB-hardware,,1,Sheet1
6875,Gebyr og renter off. Myndigheder,,1,Sheet1
6880,Kurstab,,1,Sheet1
6885,Garanti,,1,Sheet1
6890,Provision,,1,Sheet1
6899,Renteudgifter mv. i alt,,3,Sheet1
6999,FINANSIELLE POSTER I ALT,,6,Sheet1
7070,**Resultat før skat**,,6,Sheet1
7090,Skat af årets resultat,,1,Sheet1
7091,Skat tidligere år,,1,Sheet1
7092,Udskudt skat,,1,Sheet1
7990,Afsat til udbytte,,1,Sheet1
7998,Resultat,,1,Sheet1
7999,RESULTAT,,6,Sheet1
8000,AKTIVER,,4,Sheet1
8001,ANLÆGSAKTIVER,,4,Sheet1
8100,Materielle anlægsaktiver,,4,Sheet1
8110,Driftsmidler,I25,2,Sheet1
8111,Afskrivning driftsmidler,,2,Sheet1
8130,Edb-hardware,I25,2,Sheet1
8131,Afskrivning edb-hardware,,2,Sheet1
8132,Tilgang edb-hardware,I25,2,Sheet1
8150,Inventar,I25,2,Sheet1
8151,Afskrivning inventar,,2,Sheet1
8152,Tilgang Inventar,I25,2,Sheet1
8154,Afgang Inventar,U25,2,Sheet1
8160,Lokaler/indretning,I25,2,Sheet1
8161,Afskrivning lokaler,,2,Sheet1
8162,Tilgang Lokaler / indretning,I25,2,Sheet1
8199,Materielle anlægsaktiver i alt,,3,Sheet1
8200,Finansielle anlægsaktiver,,4,Sheet1
8290,Deposita,I25,2,Sheet1
8299,Finansielle anlægsaktiver i alt,,3,Sheet1
8399,ANLÆGSAKTIVER I ALT,,6,Sheet1
8400,OMSÆTNINGSAKTIVER,,4,Sheet1
8500,Varebeholdninger,,4,Sheet1
8501,Varelager,,2,Sheet1
8510,Igangværende arbejder tid,,2,Sheet1
8515,Igangværende arbejder ekstern,,2,Sheet1
8599,Varebeholdninger i alt,,3,Sheet1
8600,Tilgodehavender,,4,Sheet1
8610,Samlekonto debitorer,,2,Sheet1
8612,Samlekonto debitorer EU,,2,Sheet1
8614,Samlekonto debitorer 3. Lande,,2,Sheet1
8620,Debitorer CN Juli 2020,,2,Sheet1
8635,A/c løn,,2,Sheet1
8640,Andre tilgodehavender,,2,Sheet1
